Amsterdam,realSum,room_private,person_capacity,cleanliness_rating,guest_satisfaction_overall,bedrooms,lng,lat
Amsterdam,669.7443348,FALSE,4,9,88,2,4.86204,52.36122
Amsterdam,453.4483163,FALSE,2,9,85,1,4.85021,52.37674
Amsterdam,706.5357486,FALSE,4,9,89,3,4.86191,52.36085
Amsterdam,1038.361493,FALSE,4,9,99,2,4.89572,52.37252
Amsterdam,2500.878776,FALSE,4,9,100,1,4.88676,52.38548
Amsterdam,399.5500668,TRUE,2,9,88,0,4.88589,52.36582
Amsterdam,407.9863145,TRUE,2,9,82,0,4.90933,52.36125
Amsterdam,407.9863145,TRUE,2,8,78,0,4.90959,52.36101
Amsterdam,319.4057132,TRUE,2,9,96,1,4.878,52.377
Amsterdam,817.1443301,FALSE,4,10,100,3,4.91948,52.33918
Amsterdam,792.7729478,FALSE,6,9,92,3,4.79853,52.37599
Amsterdam,274.1780517,TRUE,2,9,90,1,4.88414,52.36433
Amsterdam,774.2600708,FALSE,2,9,93,1,4.88805,52.37353
Amsterdam,221.2171631,TRUE,2,10,100,1,4.9806,52.3099
Amsterdam,436.3414806,TRUE,2,9,90,0,4.88556,52.36457
Amsterdam,974.6209547,FALSE,3,10,95,1,4.88808,52.36267
Amsterdam,1044.688679,FALSE,5,9,96,3,4.93637,52.35604
Amsterdam,607.1754974,TRUE,4,10,96,1,4.874,52.368
Amsterdam,314.4845687,TRUE,2,9,91,1,4.90917,52.35688
Amsterdam,390.6451386,TRUE,2,9,86,1,4.874,52.368
Amsterdam,449.6988728,TRUE,4,10,98,1,4.89372,52.37536
Amsterdam,181.8480069,TRUE,2,10,87,1,4.855,52.366
Amsterdam,2458.228857,FALSE,5,10,100,3,4.88076,52.36601
Amsterdam,410.3297167,FALSE,2,8,91,1,4.92214,52.37751
Amsterdam,771.6823284,FALSE,2,9,96,1,4.89646,52.34932
Amsterdam,415.2508612,FALSE,4,10,96,2,4.78951,52.37887
Amsterdam,577.4142901,FALSE,2,9,97,1,4.90002,52.36287
Amsterdam,531.9522883,FALSE,2,9,93,1,4.87956,52.36619
Amsterdam,552.8085675,FALSE,4,9,96,2,4.98537,52.3664
Amsterdam,1651.864176,FALSE,4,10,100,3,4.88167,52.36837
Amsterdam,282.8486397,FALSE,2,10,98,1,4.91643,52.40669
Amsterdam,347.9952195,TRUE,4,10,100,2,4.80439,52.3341
Amsterdam,485.5529257,FALSE,3,9,95,2,4.85801,52.37675
Amsterdam,436.3414806,TRUE,2,10,98,1,4.90369,52.37435
Amsterdam,221.2171631,TRUE,2,10,93,1,4.85321,52.36824
Amsterdam,460.9472031,FALSE,2,10,98,1,4.90741,52.36115
Amsterdam,552.8085675,FALSE,4,9,99,3,5.0049,52.34713
Amsterdam,368.8514986,FALSE,2,10,93,1,4.94193,52.31809
Amsterdam,209.0314719,TRUE,2,9,89,0,4.827,52.383
Amsterdam,568.9780423,TRUE,3,10,92,0,4.89403,52.36876
Amsterdam,1044.688679,FALSE,4,9,94,2,4.89285,52.35761
Amsterdam,489.3023692,FALSE,2,8,85,1,4.9,52.371
Amsterdam,239.7300401,TRUE,2,9,91,1,4.9161,52.38255
Amsterdam,734.8909146,FALSE,4,9,89,2,4.88518,52.3676
Amsterdam,274.1780517,TRUE,2,10,96,1,4.84736,52.37851
Amsterdam,399.5500668,TRUE,2,10,95,1,4.88636,52.36407
Amsterdam,337.9185902,TRUE,3,10,86,1,4.93374,52.36187
Amsterdam,474.0702552,FALSE,4,10,100,2,4.78534,52.35955
Amsterdam,534.7643709,FALSE,2,10,96,1,4.85977,52.37046
Amsterdam,436.3414806,TRUE,2,9,92,0,4.88585,52.3656
Amsterdam,1112.178661,FALSE,4,9,97,2,4.88732,52.38089
